food_id,figure_number,figure_caption,pdf_page,image_file,image_description,photograph_mapping_confidence,source_document,source_year,notes
NFD-00001,Figure 2.1,"Figure 2.1 Rice, Pokhreli Basmati",17,,"Shows Paddy and Polished Rice in two separate piles",HIGH,Nepal Food Composition Database,2024,
NFD-00002,Figure 2.2,"Figure 2.2 Rice, Jetho budho",17,,"Shows Paddy and Polished Rice in two separate piles",HIGH,Nepal Food Composition Database,2024,
NFD-00003,Figure 2.3,"Figure 2.3 Rice, Swarna Sub 1",17,,"Shows Paddy and Polished Rice in two separate piles",HIGH,Nepal Food Composition Database,2024,
NFD-00004,Figure 2.4,"Figure 2.4 Rice, Samba mansuli sab-1",18,,"Shows Paddy and Polished Rice in two separate piles",HIGH,Nepal Food Composition Database,2024,Spelling differs (sub 1 vs sab-1)
NFD-00005,Figure 2.5,"Figure 2.5 Rice, Bahuguni 1",18,,"Shows Paddy and Polished Rice in two separate piles",HIGH,Nepal Food Composition Database,2024,
NFD-00006,Figure 2.6,"Figure 2.6 Rice, Chaite 5",18,,"Shows Paddy and Polished Rice in two separate piles",HIGH,Nepal Food Composition Database,2024,
NFD-00007,Figure 2.7,"Figure 2.7 Rice, Hardinath 3",19,,"Shows Paddy and Polished Rice in two separate piles",HIGH,Nepal Food Composition Database,2024,
NFD-00008,Figure 2.8,"Figure 2.8 Rice, Hardinath 6",19,,"Shows Paddy and Polished Rice in two separate piles",HIGH,Nepal Food Composition Database,2024,
NFD-00009,Figure 2.9,"Figure 2.9 Rice, Jumli marsi",19,,"Shows Paddy and Polished Rice in two separate piles",HIGH,Nepal Food Composition Database,2024,
NFD-00010,Figure 2.10,"Figure 2.10 Maize, Deuti",20,,"Shows maize kernels on a white surface",HIGH,Nepal Food Composition Database,2024,
NFD-00011,Figure 2.11,"Figure 2.11 Maize, Manakamana-3",20,,"Shows maize kernels on a white surface",HIGH,Nepal Food Composition Database,2024,
NFD-00012,Figure 2.12,"Figure 2.12 Maize, Rampur composite",20,,"Shows maize kernels on a white surface",HIGH,Nepal Food Composition Database,2024,
NFD-00013,Figure 2.13,"Figure 2.13 Maize, Arun-2",20,,"Shows maize kernels on a white surface",HIGH,Nepal Food Composition Database,2024,
NFD-00014,Figure 2.14,"Figure 2.14 Maize, Manakamana",21,,"Shows maize kernels on a white surface",HIGH,Nepal Food Composition Database,2024,"Spelling differs (Mankamana vs Manakamana), misses '4' in caption"
NFD-00015,Figure 2.15,"Figure 2.15 Wheat, Gautam",22,,"Shows Wheat grains and Flour in two separate glass petri dishes",HIGH,Nepal Food Composition Database,2024,
NFD-00016,Figure 2.16,"Figure 2.16 Wheat, Bijaya",22,,"Shows Wheat grains and Flour in two separate glass petri dishes",HIGH,Nepal Food Composition Database,2024,
NFD-00017,Figure 2.17,"Figure 2.17 Wheat, Mudule",22,,"Shows Wheat grains and Flour in two separate glass petri dishes",HIGH,Nepal Food Composition Database,2024,
NFD-00018,Figure 2.18,"Figure 2.18 Wheat, Zinc Wheat-1",23,,"Shows Wheat grains and Flour in two separate glass petri dishes",HIGH,Nepal Food Composition Database,2024,
NFD-00019,Figure 2.19,"Figure 2.19 Wheat, Zinc Wheat-2",23,,"Shows Wheat grains and Flour in two separate glass petri dishes",HIGH,Nepal Food Composition Database,2024,
NFD-00020,Figure 2.20,"Figure 2.20 Wheat, Borlong",23,,"Shows Wheat grains and Flour in two separate glass petri dishes",HIGH,Nepal Food Composition Database,2024,Spelling differs (Borlog vs Borlong)
NFD-00021,Figure 2.21,"Figure 2.21 Millet, Dalle kodo 1",25,,"Shows millet grains in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00022,Figure 2.22,"Figure 2.22 Millet, Shailungkodo 1",25,,"Shows millet grains in a glass petri dish",HIGH,Nepal Food Composition Database,2024,Spelling differs (Sailung vs Shailungkodo)
NFD-00023,Figure 2.23,"Figure 2.23 Millet, Okhley kodo 1",25,,"Shows millet grains in a glass petri dish",HIGH,Nepal Food Composition Database,2024,Spelling differs (Okhle vs Okhley)
NFD-00024,Figure 2.24,"Figure 2.24 Millet, Kavre kodo 2",25,,"Shows millet grains in a glass petri dish",HIGH,Nepal Food Composition Database,2024,Spelling differs (Kabre vs Kavre)
NFD-00025,Figure 2.25,"Figure 2.25 Millet, Kavre kodo 1",25,,"Shows millet grains in a glass petri dish",HIGH,Nepal Food Composition Database,2024,Spelling differs (Kabre vs Kavre)
NFD-00026,Figure 2.26,"Figure 2.26 Proso Millet, Dudhe chino",25,,"Shows proso millet grains in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00027,Figure 2.27,"Figure 2.27 Proso Millet, Hade chino",26,,"Shows proso millet grains in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00028,Figure 2.28,"Figure 2.28 Foxtail, Millet, Bariyo kaguno",26,,"Shows foxtail millet grains in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00029,Figure 2.29,"Figure 2.29 Barley, Bonus",27,,"Shows whole Barley grains and Flour in two separate glass petri dishes",HIGH,Nepal Food Composition Database,2024,
NFD-00030,Figure 2.30,"Figure 2.30 Naked Barley, Solu uwa",27,,"Shows Naked Barley grains and Flour in two separate dishes",HIGH,Nepal Food Composition Database,2024,
NFD-00031,Figure 2.31,"Figure 2.31 Amaranth",28,,"Shows amaranth grains in a glass petri dish",HIGH,Nepal Food Composition Database,2024,Caption missing variety name
NFD-00032,Figure 2.33,"Figure 2.33 Buckwheat",28,,"Shows Buckwheat grains and Flour in two separate glass dishes",MEDIUM,Nepal Food Composition Database,2024,Mapped based on generic grain type. PDF index has variety name mismatch.
NFD-00033,Figure 2.32,"Figure 2.32 Tartary Buckwheat",28,,"Shows Tartary Buckwheat grains and Flour in two separate glass dishes",HIGH,Nepal Food Composition Database,2024,
NFD-00034,Figure 2.34,"Figure 2.34 Sorghum",28,,"Shows Sorghum grains and Flour in two separate black square dishes",HIGH,Nepal Food Composition Database,2024,
NFD-00035,Figure 3.1,"Figure 3.1 Soybean, Puja",34,,"Shows soybeans in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00036,Figure 3.2,"Figure 3.2 Soyabean, Kawa",34,,"Shows soybeans in a glass petri dish",HIGH,Nepal Food Composition Database,2024,Spelling differs (Soybean vs Soyabean)
NFD-00037,Figure 3.3,"Figure 3.3 Mung, Pratikshya",34,,"Shows mung beans in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00038,Figure 3.4,"Figure 3.4 Chickpea, Koseli",34,,"Shows chickpeas in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00039,Figure 3.5,"Figure 3.5 Red lentil, Khajura masuro 3",34,,"Shows red lentils in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00040,Figure 3.6,"Figure 3.6 Red kidney bean, Local",34,,"Shows red kidney beans in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00041,Figure 3.7,"Figure 3.7 Red Kidney bean, PDR 14",35,,"Shows red kidney beans in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00042,Figure 3.8,"Figure 3.8 Black gram, Local",35,,"Shows black gram in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00043,Figure 3.9,"Figure 3.9 Horse gram, Local brown",35,,"Shows brown horse gram in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00044,Figure 3.10,"Figure 3.10 Horse gram, Local Black",35,,"Shows black horse gram in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00045,Figure 3.11,"Figure 3.11 String beans",35,,"Shows string beans (seeds) in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00046,Figure 3.12,"Figure 3.12 Cow Pea",35,,"Shows cow peas in a glass petri dish",HIGH,Nepal Food Composition Database,2024,
NFD-00047,Figure 4.1,"Figure 4.1 Potato, MS-42-3",38,,"Shows whole potato and cross-section",HIGH,Nepal Food Composition Database,2024,
NFD-00048,Figure 4.2,"Figure 4.2 Potato, Janakdev",38,,"Shows whole potato and cross-section",HIGH,Nepal Food Composition Database,2024,
NFD-00049,Figure 4.3,"Figure 4.3 Potato, Khumal upahar",38,,"Shows whole potato and cross-section",HIGH,Nepal Food Composition Database,2024,
