food_id,food_name_original,scientific_name,food_group,food_subgroup,variety_name,collection_area,district,province,food_state,edible_part,edible_part_percent,inedible_part_percent,lb_ratio,kernel_weight_1000_g,energy_kcal,water_g,protein_g,fat_g,ash_g,crude_fiber_g,carbohydrate_g,reducing_sugar_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,total_carotenoids_ug,vitamin_c_mg,nutrient_basis,source_document,source_year,source_page,source_table,source_figure,extraction_confidence,needs_manual_review,notes
NFD-00001,"Rice, Pokhreli Basmati",Oryza sativa,Cereals and Pseudocereals,Rice,Pokhreli Basmati,Kaski,,Gandaki,Raw,100 g edible part,68.50,31.50,2.42,11.20,345.00,13.20,6.80,0.50,0.60,0.40,78.50,,12.23,2.43,118.67,137.29,2.47,1.28,30.67,ND,100 g edible part,Nepal Food Composition Database,2024,"13, 14","Table 2.1, Table 2.4",Figure 2.1,HIGH,FALSE,
NFD-00002,"Rice, Jetho budho",Oryza sativa,Cereals and Pseudocereals,Rice,Jetho budho,Kaski,,Gandaki,Raw,100 g edible part,69.10,30.90,2.35,12.40,348.00,12.80,7.10,0.60,0.70,0.30,78.50,,10.50,2.10,115.00,130.00,2.30,1.35,28.50,ND,100 g edible part,Nepal Food Composition Database,2024,"13, 14","Table 2.1, Table 2.4",Figure 2.2,HIGH,FALSE,
NFD-00003,"Rice, Swarna Sub 1",Oryza sativa,Cereals and Pseudocereals,Rice,Swarna Sub 1,Dhanusha,,Madhesh,Raw,100 g edible part,70.20,29.80,2.10,18.50,346.00,13.10,7.50,0.50,0.65,0.45,77.80,,11.20,1.90,122.00,125.00,2.10,1.40,25.00,ND,100 g edible part,Nepal Food Composition Database,2024,"13, 14","Table 2.1, Table 2.4",Figure 2.3,HIGH,FALSE,
NFD-00004,"Rice, Samba Mansuli sub 1",Oryza sativa,Cereals and Pseudocereals,Rice,Samba Mansuli sub 1,Dhanusha,,Madhesh,Raw,100 g edible part,71.00,29.00,2.55,14.20,350.00,12.50,7.80,0.60,0.60,0.35,78.15,,9.80,1.85,110.00,120.00,2.05,1.25,22.00,ND,100 g edible part,Nepal Food Composition Database,2024,"13, 14","Table 2.1, Table 2.4",Figure 2.4,HIGH,FALSE,
NFD-00005,"Rice, Bahuguni 1",Oryza sativa,Cereals and Pseudocereals,Rice,Bahuguni 1,Bara,,Madhesh,Raw,100 g edible part,69.80,30.20,2.20,19.10,347.00,13.00,7.20,0.55,0.70,0.40,78.15,,12.00,2.20,125.00,135.00,2.50,1.30,31.00,ND,100 g edible part,Nepal Food Composition Database,2024,"13, 14","Table 2.1, Table 2.4",Figure 2.5,HIGH,FALSE,
NFD-00006,"Rice, Chaite 5",Oryza sativa,Cereals and Pseudocereals,Rice,Chaite 5,Jhapa,,Koshi,Raw,100 g edible part,70.50,29.50,2.15,20.40,349.00,12.60,7.40,0.50,0.65,0.38,78.47,,10.80,2.05,118.00,128.00,2.20,1.32,26.50,ND,100 g edible part,Nepal Food Composition Database,2024,"13, 14","Table 2.1, Table 2.4",Figure 2.6,HIGH,FALSE,
NFD-00007,"Rice, Hardinath 3",Oryza sativa,Cereals and Pseudocereals,Rice,Hardinath 3,Dhanusha,,Madhesh,Raw,100 g edible part,68.90,31.10,2.30,17.80,348.00,12.90,7.00,0.55,0.68,0.42,78.45,,11.50,2.15,120.00,132.00,2.35,1.29,29.00,ND,100 g edible part,Nepal Food Composition Database,2024,"13, 14","Table 2.1, Table 2.4",Figure 2.7,HIGH,FALSE,
NFD-00008,"Rice, Hardinath 6",Oryza sativa,Cereals and Pseudocereals,Rice,Hardinath 6,Dhanusha,,Madhesh,Raw,100 g edible part,69.40,30.60,2.25,18.20,347.00,13.00,7.30,0.52,0.66,0.40,78.12,,11.80,2.10,121.00,130.00,2.40,1.31,30.00,ND,100 g edible part,Nepal Food Composition Database,2024,"13, 14","Table 2.1, Table 2.4",Figure 2.8,HIGH,FALSE,
NFD-00009,"Rice, Jumli Marsi",Oryza sativa,Cereals and Pseudocereals,Rice,Jumli Marsi,Jumla,,Karnali,Raw,100 g edible part,67.80,32.20,2.05,22.50,352.00,12.20,8.20,0.75,0.85,0.50,77.50,,14.20,2.65,135.00,145.00,2.80,1.45,35.00,ND,100 g edible part,Nepal Food Composition Database,2024,"13, 14","Table 2.1, Table 2.4",Figure 2.9,HIGH,FALSE,
NFD-00010,"Maize, Deuti",Zea mays,Cereals and Pseudocereals,Maize,Deuti,,,,Raw,100 g edible part,100,0,,285.00,365.00,11.50,9.20,3.80,1.40,2.20,71.90,,10.00,2.50,240.00,320.00,15.00,2.10,180.00,ND,100 g edible part,Nepal Food Composition Database,2024,16,"Table 2.2, Table 2.6",Figure 2.10,HIGH,FALSE,
