food_id,food_name_original,scientific_name,food_group,food_subgroup,variety_name,collection_area,district,province,food_state,edible_part,edible_part_percent,inedible_part_percent,lb_ratio,kernel_weight_1000_g,energy_kcal,water_g,protein_g,fat_g,ash_g,crude_fiber_g,carbohydrate_g,reducing_sugar_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,total_carotenoids_ug,vitamin_c_mg,nutrient_basis,source_document,source_year,source_page,source_table,source_figure,extraction_confidence,needs_manual_review,notes
NFD-2012-0101,Amaranth seed,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,375,10.6,9.4,7.17,2.6,2.2,68.1,,37,5.2,529.1,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0102,Barely,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,336,12.5,11.5,1.3,1.2,3.9,69.6,,26,1.7,215,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0103,Buck wheat(whole),,CEREAL & CEREAL PRODUCT,,,,,,Raw,,74,,,,323,11.3,10.3,2.4,2.3,8.6,65.1,,64,15.5,355,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0104,Bajra,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,84,,,,361,12.4,11.6,5,2.3,1.2,67.5,,42,8,296,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0105,Bamboo seed,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,367,7.8,13.1,1.1,1.1,0.9,75.9,,37,6.4,162,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0106,Buckwheat flour,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,,,,,313,12.2,6.1,1.3,3.1,7.8,69.2,,,5.6,,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0107,Foxtail millet,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,79,,,,331,11.2,12.3,4.3,3.3,8,60.9,,31,12.9,290,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0108,Finger millet(Ragi),,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,328,13.1,7.3,1.3,2.7,3.6,72,,344,3.9,283,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0109,Prosomillet( chino),,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,378,8.67,11,4.22,3.25,1,72.9,,8,3,28.5,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0110,French millet,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,59,,,,341,11.9,12.5,1.1,1.9,2.2,70.4,,14,5,206,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0111,Jowar,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,349,11.9,10.4,1.9,1.6,1.6,72.6,,25,5.8,222,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0112,Maize green(tender),,CEREAL & CEREAL PRODUCT,,,,,,Raw,,37,,,,125,67.1,4.7,0.9,0.8,1.9,24.6,,9,1.1,121,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0113,Maize Dry,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,342,14.9,11.1,3.6,1.5,2.7,66.2,,10,3.3,348,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0114,Maize flour (yellow),,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,360,12,9.2,3.9,1.2,1.6,72.1,,20,2.4,256,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0115,Maize flour (white),,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,360,12,9.2,3.9,1.2,1.6,72.1,,20,2.4,256,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0116,Millet,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,322,14.4,7.7,1.2,2.9,3.7,70.1,,288,49.1,276,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0117,Maize granular,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,362,12,9,3.4,1.1,1,74.5,,17,1.8,223,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0118,Oatmeal,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,374,10.7,13.6,7.6,1.8,3.5,62.8,,50,3.8,380,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0119,"Rice Parboiled, (hand punded)",,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,349,12.6,8.5,0.6,0.9,,77.4,,10,2.8,280,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0120,Rice (raw) (Milled),,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,345,13.7,6.8,0.5,0.6,0.2,78.2,,10,0.7,160,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0121,Rice (Raw) (Handpounded),,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,346,13.3,7.5,1,0.9,0.6,76.7,,10,3.2,190,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0122,Rice flakes,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,346,12.2,6.6,1.2,2,0.7,77.3,,20,20,238,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0123,"Rice parboiled, (Milled)",,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,345,13.3,6.4,0.4,0.7,0.2,79,,9,1,143,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0124,Rice Puff,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,325,14.7,7.5,0.1,3.8,0.3,73.6,,23,6.6,150,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0125,Rice bran,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,,,,,393,11,13.5,16.2,6.6,4.3,48.4,,67,35,1410,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0126,Sorghum,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,357,14.3,7.6,2.4,1,0.6,74.7,,17,3.6,196,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0127,Vermicelli,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,352,11.7,8.7,0.4,0.7,0.2,78.3,,22,2,92,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0128,Wheat flour (whole),,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,341,12.2,12.1,1.7,2.7,1.9,69.4,,48,4.9,355,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0129,Wheat flour (refined),,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,348,13.3,11,0.9,0.6,0.3,73.9,,23,2.7,121,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0130,Wheat germ,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,397,5.2,29.2,7.4,3.5,1.4,53.3,,40,6,846,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0131,wheat bran,,CEREAL & CEREAL PRODUCT,,,,,,Raw,,100,,,,397,11.9,14.6,3,4.5,6.8,66,,132,13.8,975,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0132,"Bengal gram, Big, white( whole)",,PULSES & LEGUMES,,,,,,Raw,,100,,,,347.2,10.9,21.1,4,2.8,4.5,56.7,,56.2,5.3,300,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0133,Bengal gram dal(chickpea),,PULSES & LEGUMES,,,,,,Raw,,100,,,,372,9.9,20.8,5.6,2.7,1.2,59.8,,56,5.3,331,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0134,Black gram (Dal),,PULSES & LEGUMES,,,,,,Raw,,100,,,,347,10.9,24,1.4,3.2,0.9,59.6,,154,3.8,385,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0135,Black gram (Whole),,PULSES & LEGUMES,,,,,,Raw,,100,,,,344,10.6,21,1.6,3.6,4.4,58.8,,110,8.4,348,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0136,Broadbean,,PULSES & LEGUMES,,,,,,Raw,,100,,,,328,13.8,25,1.2,3.1,5.1,29.3,,104,4.2,357,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
NFD-2012-0137,Cow Pea,,PULSES & LEGUMES,,,,,,Raw,,97,,,,323,13.4,24.1,1,3.2,3.8,54.5,,77,8.6,414,,,,,,100g,Nepal Food Composition Table,2012,,,,HIGH,FALSE,
